Bisaya,Tagalog,English,Part of Speech,Pronunciation,Category,Beginner Example (Bisaya),Beginner English Translation,Beginner Tagalog Translation,Intermediate Example (Bisaya),Intermediate English Translation,Intermediate Tagalog Translation,Advanced Example (Bisaya),Advanced English Translation,Advanced Tagalog Translation
Padayon,Tuloy,Continue,Verb,pah-DAH-yon,Actions,Padayon ta.,Let's continue.,Tuloy tayo.,Padayon siya sa trabaho.,He continues working.,Nagpapatuloy siya sa trabaho.,Gipadayon nako ang presentasyon bisan naay technical issue.,I continued the presentation despite technical issues.,Pinagpatuloy ko ang presentasyon kahit may teknikal na problema.
Abli,Bukas,Open,Verb,ab-LEE,Actions,Abli ang pultahan.,Open the door.,Buksan ang pintuan.,Abli siya sa libro.,He opened the book.,Binuksan niya ang libro.,Giabli nako ang bintana kay init kaayo.,I opened the window because it was very hot.,Binuksan ko ang bintana dahil sobrang init.
Sirado,Sarado,Close,Verb,see-RAH-doh,Actions,Sirado ang tindahan.,The store is closed.,Nakasara ang tindahan.,Sirado siya sa buntag.,He was closed in the morning.,Nakasara siya kaninang umaga.,Gisirado nako ang pultahan uggiya.,I closed the door securely.,Isinara ko ng maayos ang pintuan.
Gamit,Gamitin,Use,Verb,GAH-meet,Actions,Gamiton kini.,Use this.,Gamitin ito.,Gigamit nako ang lapis.,I used the pencil.,Ginamit ko ang lapis.,Gigamit nako ang cellphone para sa trabaho gahapon.,I used the cellphone for work yesterday.,Ginamit ko ang cellphone para sa trabaho kahapon.
Hikay,Handa,Prepare,Verb/Action,hee-KAHY,Actions,Hikay na.,Prepare now.,Handa na.,Gihikay nako ang pagkaon.,I prepared the food.,Inihanda ko ang pagkain.,Gihikay nako ang presentasyon ugmi.,I prepared the presentation this morning.,Inihanda ko ang presentasyon kaninang umaga.
Andam,Handa,Ready,Adjective/an-DAM,Status,Andam na.,Ready.,Handa na.,Andam siya.,He is ready.,Handa na siya.,Andam na ang tanan para sa fiesta gahapon.,Everything was ready for the fiesta yesterday.,Handa na ang lahat para sa pista kahapon.,
Wala pa,Hindi pa,Not yet,Adverb,WAH-lah pah,Status,Wala pa.,Not yet.,Hindi pa.,Wala pa siya.,He is not yet here.,Hindi pa siya.,Wala pa ko makadawat sa mensahe gahapon.,I haven't received the message yet yesterday.,Hindi ko pa natanggap ang mensahe kahapon.
Dayon,Agad,Immediately/Then,Adverb/dah-YON,Actions,Dayon ta.,Do it now/then.,Agad na tayo.,Dayon siya.,Go ahead/then.,Agad siya.,Gihuman nako dayon ang task.,I finished the task immediately. Tinapos ko agad ang task.,,
Sa dili madugay,Malapit na,Soon,Adverb/sah DEE-lee mah-doo-GAHY,Time,Sa dili madugay.,Soon.,Malapit na.,Moabot na siya sa dili madugay.,He will arrive soon.,Darating siya malapit na.,Sa dili madugay moabot ang bag-ong batch.,The new batch will arrive soon.,Malapit na dumating ang bagong batch.,
Unya,Mamaya,Later,Adverb,OOHN-yah,Time,Unya ta.,Later.,Mamaya na tayo.,Unya siya moanhi.,He will come later.,Paparito siya mamaya.,Unya nako humanon ang trabaho.,I will finish the work later.,Mamaya ko tatapusin ang trabaho.
Nahigugma ko nimo,Nahihilig/ Mahal kita,I love you,Phrase/Expression,na-hee-GUG-ma ko NEE-mo,Emotions,Nahigugma ko nimo.,I love you.,Mahal kita.,Nahigugma ko nimo gayud.,I truly love you.,Mahal na kita talaga.,Nahigugma ko nimo sukad pa sa una ug buot kong magpuyo uban nimo.,I have loved you since before and want to live with you.,Mahal na kita mula noon at gusto kong mabuhay kasama mo.
